Vibration,Temperature,Force
22.95,20.04,-0.20
23.05,20.04,-0.20
22.95,20.04,-0.20
22.95,20.04,-0.21
22.93,20.04,-0.21
23.03,20.04,-0.21
22.95,20.04,-0.21
22.99,20.04,-0.21
22.95,20.04,-0.21
22.99,20.04,-0.21
23.03,20.04,-0.21
22.99,20.04,-0.21
23.03,20.04,-0.21
23.03,20.04,-0.21
22.99,20.04,-0.22
23.03,20.04,-0.23
23.03,20.04,-0.23
23.05,20.04,-0.24
23.05,20.04,-0.26
23.05,20.04,-0.27
23.05,20.04,-0.28
23.05,20.04,-0.28
23.05,20.04,-0.28
22.99,20.04,-0.29
23.05,20.04,-0.29
23.05,20.04,-0.28
23.09,20.04,-0.28
23.09,20.04,-0.28
23.05,20.04,-0.28
23.03,20.04,-0.27
23.03,20.04,-0.25
23.05,20.04,-0.24
23.05,20.04,-0.21
23.03,20.04,-0.21
23.05,20.04,-0.20
23.05,20.04,-0.17
23.09,20.04,-0.15
23.09,20.04,-0.15
23.15,20.04,-0.09
23.09,20.04,-0.07
23.05,20.04,-0.06
23.03,20.04,-0.04
23.03,20.04,-0.02
23.03,20.04,-0.01
22.99,20.04,0.02
22.99,20.04,0.03
22.99,20.04,0.06
23.03,20.04,0.08
23.05,20.04,0.10
23.03,20.04,0.14
